word,level,meaning,field,example_index,situation,ko,current_tl,reason
응급,4,救急（医療）,examples.tl,7,救急教育,학교에서 학생들에게 응급 처치 방법을 교육하고 있다.,학교에서 학생들에게 응급 처치 방법을 교육하고 있다.,same_as_korean
응급,4,救急（医療）,examples.tl,8,救急ヘリコプター,응급 헬기를 이용하여 산간 지역 환자를 신속하게 이송했다.,응급 헬기를 이용하여 산간 지역 환자를 신속하게 이송했다.,same_as_korean
응급,4,救急（医療）,examples.tl,9,緊急キット,등산할 때는 응급 처치 키트를 반드시 챙겨야 한다.,등산할 때는 응급 처치 키트를 반드시 챙겨야 한다.,same_as_korean
의료보험,4,健康保険。医療保険,example_tl,,病院訪問,의료보험이 있으면 병원비 부담을 줄일 수 있다.,의료보험이 있으면 병원비 부담을 줄일 수 있다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,1,病院訪問,의료보험이 있으면 병원비 부담을 줄일 수 있다.,의료보험이 있으면 병원비 부담을 줄일 수 있다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,10,社会的セーフティネット,의료보험은 사회안전망의 중요한 부분을 차지한다.,의료보험은 사회안전망의 중요한 부분을 차지한다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,2,福利厚生政策,한국의 국민건강보험은 전 국민 의료보험 제도다.,한국의 국민건강보험은 전 국민 의료보험 제도다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,3,ワークライフ,직장에 다니면 의료보험료가 월급에서 자동으로 공제된다.,직장에 다니면 의료보험료가 월급에서 자동으로 공제된다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,4,外国人居住者,외국인도 일정 조건을 갖추면 의료보험에 가입할 수 있다.,외국인도 일정 조건을 갖추면 의료보험에 가입할 수 있다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,5,社会的議論,의료보험 제도가 없는 나라에서는 아파도 병원을 못 가는 사람이 많다.,의료보험 제도가 없는 나라에서는 아파도 병원을 못 가는 사람이 많다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,6,経済的保護,의료보험은 큰 병으로 인한 경제적 파탄을 막아 준다.,의료보험은 큰 병으로 인한 경제적 파탄을 막아 준다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,7,保険を理解する,의료보험료는 소득에 따라 다르게 책정된다.,의료보험료는 소득에 따라 다르게 책정된다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,8,選択について熟考する,민간 의료보험에 추가로 가입하는 사람들도 많다.,민간 의료보험에 추가로 가입하는 사람들도 많다.,same_as_korean
의료보험,4,健康保険。医療保険,examples.tl,9,福利厚生比較,의료보험 제도는 나라마다 운영 방식이 다르다.,의료보험 제도는 나라마다 운영 방식이 다르다.,same_as_korean
의무,4,義務/義務,example_tl,,憲法教育,납세는 국민의 4대 의무 중 하나이다.,납세는 국민의 4대 의무 중 하나이다.,same_as_korean
의무,4,義務/義務,examples.tl,1,憲法教育,납세는 국민의 4대 의무 중 하나이다.,납세는 국민의 4대 의무 중 하나이다.,same_as_korean
의무,4,義務/義務,examples.tl,10,社会倫理,공직자는 국민에게 공정하게 봉사할 의무가 있다.,공직자는 국민에게 공정하게 봉사할 의무가 있다.,same_as_korean
의무,4,義務/義務,examples.tl,2,法律講座,"모든 국민은 국방의 의무를 지며, 그 내용은 법률로 정한다.","모든 국민은 국방의 의무를 지며, 그 내용은 법률로 정한다.",same_as_korean
의무,4,義務/義務,examples.tl,3,職場研修,고용주는 직원에게 안전한 근무 환경을 제공할 의무가 있다.,고용주는 직원에게 안전한 근무 환경을 제공할 의무가 있다.,same_as_korean
의무,4,義務/義務,examples.tl,4,市民討論,권리와 의무는 민주주의 사회의 양대 축이다.,권리와 의무는 민주주의 사회의 양대 축이다.,same_as_korean
의무,4,義務/義務,examples.tl,5,学校教育,학부모는 자녀를 학교에 보낼 교육의 의무를 진다.,학부모는 자녀를 학교에 보낼 교육의 의무를 진다.,same_as_korean
의무,4,義務/義務,examples.tl,6,契約説明,계약서에 명시된 의무를 이행하지 않으면 법적 책임을 질 수 있다.,계약서에 명시된 의무를 이행하지 않으면 법적 책임을 질 수 있다.,same_as_korean
의무,4,義務/義務,examples.tl,7,医療倫理,의사는 환자의 비밀을 지킬 의무가 있다.,의사는 환자의 비밀을 지킬 의무가 있다.,same_as_korean
의무,4,義務/義務,examples.tl,8,環境教室,우리에게는 지구 환경을 보전할 의무가 있다.,우리에게는 지구 환경을 보전할 의무가 있다.,same_as_korean
의무,4,義務/義務,examples.tl,9,裁判所の判決,법원은 가해자에게 피해자에게 손해를 배상할 의무를 부과했다.,법원은 가해자에게 피해자에게 손해를 배상할 의무를 부과했다.,same_as_korean
의사소통,4,コミュニケーション,example_tl,,ワークライフ,효과적인 의사소통은 팀워크를 높이고 오해를 줄이는 데 필수적입니다.,효과적인 의사소통은 팀워크를 높이고 오해를 줄이는 데 필수적입니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,1,ワークライフ,효과적인 의사소통은 팀워크를 높이고 오해를 줄이는 데 필수적입니다.,효과적인 의사소통은 팀워크를 높이고 오해를 줄이는 데 필수적입니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,10,言葉の壁,공통 언어가 없어도 의사소통하려는 의지가 있으면 방법을 찾을 수 있습니다.,공통 언어가 없어도 의사소통하려는 의지가 있으면 방법을 찾을 수 있습니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,2,言語教育,외국어 학습의 궁극적인 목표는 원활한 의사소통 능력을 기르는 것입니다.,외국어 학습의 궁극적인 목표는 원활한 의사소통 능력을 기르는 것입니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,3,人間関係,서로 다른 배경을 가진 사람들 사이의 의사소통에는 상호 이해가 필요합니다.,서로 다른 배경을 가진 사람들 사이의 의사소통에는 상호 이해가 필요합니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,4,デジタル時代,소셜 미디어는 새로운 의사소통 방식을 만들어 냈습니다.,소셜 미디어는 새로운 의사소통 방식을 만들어 냈습니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,5,心理学,비언어적 의사소통은 말보다 더 많은 정보를 전달하기도 합니다.,비언어적 의사소통은 말보다 더 많은 정보를 전달하기도 합니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,6,教育環境,교사와 학생 간의 원활한 의사소통은 학습 효과를 높입니다.,교사와 학생 간의 원활한 의사소통은 학습 효과를 높입니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,7,異文化コミュニケーション,다문화 환경에서는 문화적 차이를 존중하는 의사소통이 중요합니다.,다문화 환경에서는 문화적 차이를 존중하는 의사소통이 중요합니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,8,家族関係,가족 간의 의사소통이 원활할수록 가정이 화목해집니다.,가족 간의 의사소통이 원활할수록 가정이 화목해집니다.,same_as_korean
의사소통,4,コミュニケーション,examples.tl,9,医療現場,의료진과 환자 간의 명확한 의사소통은 치료 효과에 영향을 미칩니다.,의료진과 환자 간의 명확한 의사소통은 치료 효과에 영향을 미칩니다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,example_tl,,ダイエット,다이어트에 성공하려면 강한 의지력이 필요하다.,다이어트에 성공하려면 강한 의지력이 필요하다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,1,ダイエット,다이어트에 성공하려면 강한 의지력이 필요하다.,다이어트에 성공하려면 강한 의지력이 필요하다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,10,心理療法,의지력 부족은 심리적인 문제일 수 있으므로 전문 치료가 도움이 된다.,의지력 부족은 심리적인 문제일 수 있으므로 전문 치료가 도움이 된다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,2,禁煙,금연은 의지력만으로는 어렵고 전문적인 도움도 필요하다.,금연은 의지력만으로는 어렵고 전문적인 도움도 필요하다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,3,学習,의지력이 강한 학생은 지루한 과목도 열심히 공부한다.,의지력이 강한 학생은 지루한 과목도 열심히 공부한다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,4,心理学研究,의지력은 근육처럼 훈련하면 강해질 수 있다는 연구 결과가 있다.,의지력은 근육처럼 훈련하면 강해질 수 있다는 연구 결과가 있다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,5,目標を達成する,의지력이 강한 사람일수록 장기적인 목표를 달성할 가능성이 높다.,의지력이 강한 사람일수록 장기적인 목표를 달성할 가능성이 높다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,6,習慣の形成,좋은 습관을 형성하려면 초기에 상당한 의지력이 요구된다.,좋은 습관을 형성하려면 초기에 상당한 의지력이 요구된다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,7,脳科学,뇌의 전두엽 발달이 의지력과 관련이 있다고 한다.,뇌의 전두엽 발달이 의지력과 관련이 있다고 한다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,8,スポーツ,운동선수는 힘든 훈련을 버텨 내는 강한 의지력을 가져야 한다.,운동선수는 힘든 훈련을 버텨 내는 강한 의지력을 가져야 한다.,same_as_korean
의지력,4,意志の力。意志の強さ。自制心,examples.tl,9,日常生活,피곤해도 계획을 실천하는 의지력이 성공을 만든다.,피곤해도 계획을 실천하는 의지력이 성공을 만든다.,same_as_korean
이론,4,理論,example_tl,,物理学,아인슈타인의 상대성 이론은 시간과 공간을 새롭게 정의했다.,아인슈타인의 상대성 이론은 시간과 공간을 새롭게 정의했다.,same_as_korean
이론,4,理論,examples.tl,1,物理学,아인슈타인의 상대성 이론은 시간과 공간을 새롭게 정의했다.,아인슈타인의 상대성 이론은 시간과 공간을 새롭게 정의했다.,same_as_korean
이론,4,理論,examples.tl,10,地球科学,판구조 이론은 지진과 화산 활동을 설명한다.,판구조 이론은 지진과 화산 활동을 설명한다.,same_as_korean
이론,4,理論,examples.tl,2,生物学,다윈의 진화 이론은 생명 과학의 기초가 되었다.,다윈의 진화 이론은 생명 과학의 기초가 되었다.,same_as_korean
이론,4,理論,examples.tl,3,大学,물리학 이론을 실험으로 증명하는 것이 중요하다.,물리학 이론을 실험으로 증명하는 것이 중요하다.,same_as_korean
이론,4,理論,examples.tl,4,数学,집합 이론은 현대 수학의 근간이다.,집합 이론은 현대 수학의 근간이다.,same_as_korean
이론,4,理論,examples.tl,5,量子力学,양자 이론은 원자 세계의 작동 방식을 설명한다.,양자 이론은 원자 세계의 작동 방식을 설명한다.,same_as_korean
이론,4,理論,examples.tl,6,宇宙論,빅뱅 이론은 우주의 기원을 설명하는 가장 유력한 학설이다.,빅뱅 이론은 우주의 기원을 설명하는 가장 유력한 학설이다.,same_as_korean
이론,4,理論,examples.tl,7,科学哲学,이론이 반증되면 새로운 이론으로 대체된다.,이론이 반증되면 새로운 이론으로 대체된다.,same_as_korean
이론,4,理論,examples.tl,8,コンピュータサイエンス,정보 이론은 디지털 통신의 수학적 기초를 제공한다.,정보 이론은 디지털 통신의 수학적 기초를 제공한다.,same_as_korean
이론,4,理論,examples.tl,9,化学,분자 이론의 발전으로 물질의 구조를 이해하게 되었다.,분자 이론의 발전으로 물질의 구조를 이해하게 되었다.,same_as_korean
이민자,4,移民。移民,example_tl,,社会現象,매년 많은 이민자들이 새로운 삶을 찾아 한국에 온다.,매년 많은 이민자들이 새로운 삶을 찾아 한국에 온다.,same_as_korean
이민자,4,移民。移民,examples.tl,1,社会現象,매년 많은 이민자들이 새로운 삶을 찾아 한국에 온다.,매년 많은 이민자들이 새로운 삶을 찾아 한국에 온다.,same_as_korean
이민자,4,移民。移民,examples.tl,10,法的サポート,이민자들이 법적으로 부당한 대우를 받지 않도록 보호해야 한다.,이민자들이 법적으로 부당한 대우를 받지 않도록 보호해야 한다.,same_as_korean
이민자,4,移民。移民,examples.tl,2,政策論争,이민자들의 사회 통합을 위한 지원 정책이 마련되어야 한다.,이민자들의 사회 통합을 위한 지원 정책이 마련되어야 한다.,same_as_korean
이민자,4,移民。移民,examples.tl,3,人権講演会,이민자들도 내국인과 동등한 기본권을 보장받아야 한다.,이민자들도 내국인과 동등한 기본권을 보장받아야 한다.,same_as_korean
이민자,4,移民。移民,examples.tl,4,経済学の議論,이민자들은 노동력 부족 문제를 해결하는 데 기여한다.,이민자들은 노동력 부족 문제를 해결하는 데 기여한다.,same_as_korean
이민자,4,移民。移民,examples.tl,5,学校生活,이민자 출신 친구가 자기 나라의 문화를 소개해 주었다.,이민자 출신 친구가 자기 나라의 문화를 소개해 주었다.,same_as_korean
이민자,4,移民。移民,examples.tl,6,報道,이민자에 대한 차별 문제가 사회적 이슈로 대두되고 있다.,이민자에 대한 차별 문제가 사회적 이슈로 대두되고 있다.,same_as_korean
이민자,4,移民。移民,examples.tl,7,適応サポート,이민자들이 언어와 문화에 빠르게 적응할 수 있도록 도움이 필요하다.,이민자들이 언어와 문화에 빠르게 적응할 수 있도록 도움이 필요하다.,same_as_korean
이민자,4,移民。移民,examples.tl,8,歴史の授業,많은 나라들이 이민자들의 기여로 발전해 왔다.,많은 나라들이 이민자들의 기여로 발전해 왔다.,same_as_korean
이민자,4,移民。移民,examples.tl,9,地域コミュニティ,이민자들이 지역 사회에 잘 녹아들 수 있도록 환경을 만들어야 한다.,이민자들이 지역 사회에 잘 녹아들 수 있도록 환경을 만들어야 한다.,same_as_korean
인권,4,人権,example_tl,,人権講演会,모든 사람은 태어날 때부터 기본적인 인권을 가지고 있다.,모든 사람은 태어날 때부터 기본적인 인권을 가지고 있다.,same_as_korean
인권,4,人権,examples.tl,1,人権講演会,모든 사람은 태어날 때부터 기본적인 인권을 가지고 있다.,모든 사람은 태어날 때부터 기본적인 인권을 가지고 있다.,same_as_korean
인권,4,人権,examples.tl,10,青少年教育,청소년들도 자신의 인권을 알고 지킬 줄 알아야 한다.,청소년들도 자신의 인권을 알고 지킬 줄 알아야 한다.,same_as_korean
인권,4,人権,examples.tl,2,市民運動,인권 단체들은 차별과 탄압에 맞서 싸우고 있다.,인권 단체들은 차별과 탄압에 맞서 싸우고 있다.,same_as_korean
인권,4,人権,examples.tl,3,学校のクラス,세계인권선언은 1948년에 유엔에서 채택되었다.,세계인권선언은 1948년에 유엔에서 채택되었다.,same_as_korean
인권,4,人権,examples.tl,4,報道,특정 국가에서 인권이 심각하게 침해되고 있다는 보고가 나왔다.,특정 국가에서 인권이 심각하게 침해되고 있다는 보고가 나왔다.,same_as_korean
인권,4,人権,examples.tl,5,ディベートの授業,인권 보호를 위한 국제적 협력이 더욱 강화되어야 한다.,인권 보호를 위한 국제적 협력이 더욱 강화되어야 한다.,same_as_korean
인권,4,人権,examples.tl,6,社会の変化,인권 의식이 높아지면서 다양한 소수자들의 권리가 개선되고 있다.,인권 의식이 높아지면서 다양한 소수자들의 권리가 개선되고 있다.,same_as_korean
인권,4,人権,examples.tl,7,法律の勉強,헌법은 모든 국민의 기본적 인권을 보장한다.,헌법은 모든 국민의 기본적 인권을 보장한다.,same_as_korean
인권,4,人権,examples.tl,8,ワークライフ,직장 내 인권 침해 사례를 신고할 수 있는 창구가 마련되어 있다.,직장 내 인권 침해 사례를 신고할 수 있는 창구가 마련되어 있다.,same_as_korean
인권,4,人権,examples.tl,9,社会的議論,경제 발전과 인권 보호가 함께 이루어져야 한다.,경제 발전과 인권 보호가 함께 이루어져야 한다.,same_as_korean
인식,4,認識。意識;認識,example_tl,,社会の変化,환경 문제에 대한 사회적 인식이 높아지고 있다.,환경 문제에 대한 사회적 인식이 높아지고 있다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,1,社会の変化,환경 문제에 대한 사회적 인식이 높아지고 있다.,환경 문제에 대한 사회적 인식이 높아지고 있다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,10,科学教育,과학적 인식 방법론을 배우면 비판적 사고력이 향상된다.,과학적 인식 방법론을 배우면 비판적 사고력이 향상된다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,2,心理学,인식의 차이가 갈등의 원인이 되는 경우가 많다.,인식의 차이가 갈등의 원인이 되는 경우가 많다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,3,マーケティング,브랜드 인식을 높이기 위한 다양한 전략이 필요하다.,브랜드 인식을 높이기 위한 다양한 전략이 필요하다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,4,教育,잘못된 인식을 바로잡는 것이 교육의 중요한 역할이다.,잘못된 인식을 바로잡는 것이 교육의 중요한 역할이다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,5,健康管理,정신 건강에 대한 인식이 개선되면서 치료를 받는 사람이 늘었다.,정신 건강에 대한 인식이 개선되면서 치료를 받는 사람이 늘었다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,6,自己啓発,자신의 약점에 대한 인식이 성장의 첫걸음이다.,자신의 약점에 대한 인식이 성장의 첫걸음이다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,7,法的事項,법에 대한 시민들의 인식 부족이 문제가 되고 있다.,법에 대한 시민들의 인식 부족이 문제가 되고 있다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,8,ジャーナリズム/メディア,언론은 공정한 인식을 형성하는 데 큰 역할을 한다.,언론은 공정한 인식을 형성하는 데 큰 역할을 한다.,same_as_korean
인식,4,認識。意識;認識,examples.tl,9,哲学,인식의 한계를 이해하는 것이 철학의 중요한 주제 중 하나다.,인식의 한계를 이해하는 것이 철학의 중요한 주제 중 하나다.,same_as_korean
인적자원,4,人的資源、人的資本,example_tl,,기업 경영을 이야기할 때,기업의 가장 중요한 자산은 인적자원이에요.,기업의 가장 중요한 자산은 인적자원이에요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,1,기업 경영을 이야기할 때,기업의 가장 중요한 자산은 인적자원이에요.,기업의 가장 중요한 자산은 인적자원이에요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,10,은퇴를 논의할 때,숙련된 인적자원의 조기 은퇴는 기업에 큰 손실이에요.,숙련된 인적자원의 조기 은퇴는 기업에 큰 손실이에요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,2,교육 투자를 논의할 때,인적자원 개발을 위한 교육 투자가 필수적이에요.,인적자원 개발을 위한 교육 투자가 필수적이에요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,3,채용을 이야기할 때,회사는 우수한 인적자원을 확보하기 위해 경쟁하고 있어요.,회사는 우수한 인적자원을 확보하기 위해 경쟁하고 있어요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,4,국가 발전을 논의할 때,한 나라의 발전은 인적자원의 질에 달려 있어요.,한 나라의 발전은 인적자원의 질에 달려 있어요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,5,HR을 야기할 때,인적자원 관리는 직원의 역량을 최대화하는 것을 목표로 해요.,인적자원 관리는 직원의 역량을 최대화하는 것을 목표로 해요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,6,글로벌 경쟁을 이야기할 때,글로벌 기업들이 우수 인적자원 유치를 위해 경쟁해요.,글로벌 기업들이 우수 인적자원 유치를 위해 경쟁해요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,7,다양성을 논의할 때,다양한 인적자원이 조직의 창의성을 높여요.,다양한 인적자원이 조직의 창의성을 높여요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,8,경제를 이야기할 때,인적자원 개발이 경제 발전의 핵심 요소예요.,인적자원 개발이 경제 발전의 핵심 요소예요.,same_as_korean
인적자원,4,人的資源、人的資本,examples.tl,9,민 정책을 이야기할 때,해외 우수 인적자원을 유치하는 이민 정책이 도입됐어요.,해외 우수 인적자원을 유치하는 이민 정책이 도입됐어요.,same_as_korean
인플레이션,4,インフレ,example_tl,,経済ニュース,높은 인플레이션으로 인해 서민들의 생활비 부담이 커지고 있다.,높은 인플레이션으로 인해 서민들의 생활비 부담이 커지고 있다.,same_as_korean
인플레이션,4,インフレ,examples.tl,1,経済ニュース,높은 인플레이션으로 인해 서민들의 생활비 부담이 커지고 있다.,높은 인플레이션으로 인해 서민들의 생활비 부담이 커지고 있다.,same_as_korean
인플레이션,4,インフレ,examples.tl,10,退職準備セミナー,인플레이션을 고려하면 실질 수익률이 명목 수익률보다 낮아진다.,인플레이션을 고려하면 실질 수익률이 명목 수익률보다 낮아진다.,same_as_korean
인플레이션,4,インフレ,examples.tl,2,経済学の講義,인플레이션은 물가가 지속적으로 오르고 화폐 가치가 떨어지는 현상이다.,인플레이션은 물가가 지속적으로 오르고 화폐 가치가 떨어지는 현상이다.,same_as_korean
인플레이션,4,インフレ,examples.tl,3,中央銀行の政策発表,중앙은행은 인플레이션을 억제하기 위해 기준금리를 인상했다.,중앙은행은 인플레이션을 억제하기 위해 기준금리를 인상했다.,same_as_korean
인플레이션,4,インフレ,examples.tl,4,消費者物価分析,에너지 가격 상승이 전반적인 인플레이션을 부추기고 있다.,에너지 가격 상승이 전반적인 인플레이션을 부추기고 있다.,same_as_korean
인플레이션,4,インフレ,examples.tl,5,企業経営戦略,인플레이션 시기에는 원가 상승을 제품 가격에 반영하기 어렵다.,인플레이션 시기에는 원가 상승을 제품 가격에 반영하기 어렵다.,same_as_korean
인플레이션,4,インフレ,examples.tl,6,投資戦略コンサルティング,인플레이션 헤지 수단으로 금이나 부동산에 투자하는 사람들이 늘고 있다.,인플레이션 헤지 수단으로 금이나 부동산에 투자하는 사람들이 늘고 있다.,same_as_korean
인플레이션,4,インフレ,examples.tl,7,賃金交渉,노동자들은 인플레이션율만큼 임금 인상을 요구하고 있다.,노동자들은 인플레이션율만큼 임금 인상을 요구하고 있다.,same_as_korean
인플레이션,4,インフレ,examples.tl,8,政府の経済政策,정부는 인플레이션 관리를 위해 물가 안정 대책을 마련했다.,정부는 인플레이션 관리를 위해 물가 안정 대책을 마련했다.,same_as_korean
인플레이션,4,インフレ,examples.tl,9,国際経済比較,일부 개발도상국에서는 연간 인플레이션율이 100%를 넘기도 한다.,일부 개발도상국에서는 연간 인플레이션율이 100%를 넘기도 한다.,same_as_korean
입법,4,立法/法律制定,example_tl,,法科大学院の講義,"입법, 사법, 행정은 삼권 분립의 핵심 원칙이다.","입법, 사법, 행정은 삼권 분립의 핵심 원칙이다.",same_as_korean
입법,4,立法/法律制定,examples.tl,1,法科大学院の講義,"입법, 사법, 행정은 삼권 분립의 핵심 원칙이다.","입법, 사법, 행정은 삼권 분립의 핵심 원칙이다.",same_as_korean
입법,4,立法/法律制定,examples.tl,10,政策セミナー,빠르게 변화하는 기술 환경에서 입법은 항상 뒤처지는 경향이 있다.,빠르게 변화하는 기술 환경에서 입법은 항상 뒤처지는 경향이 있다.,same_as_korean
입법,4,立法/法律制定,examples.tl,2,議会だより,국회의 입법 활동이 사회 변화를 따라가지 못한다는 비판이 있다.,국회의 입법 활동이 사회 변화를 따라가지 못한다는 비판이 있다.,same_as_korean
입법,4,立法/法律制定,examples.tl,3,政治分析,시민 사회 단체들이 입법 청원 운동을 활발하게 벌이고 있다.,시민 사회 단체들이 입법 청원 운동을 활발하게 벌이고 있다.,same_as_korean
입법,4,立法/法律制定,examples.tl,4,行政調査,행정부도 필요에 따라 입법부에 법안을 제출할 수 있다.,행정부도 필요에 따라 입법부에 법안을 제출할 수 있다.,same_as_korean
입법,4,立法/法律制定,examples.tl,5,憲法教育,국회는 헌법이 부여한 입법권을 갖는 유일한 국가 기관이다.,국회는 헌법이 부여한 입법권을 갖는 유일한 국가 기관이다.,same_as_korean
입법,4,立法/法律制定,examples.tl,6,社会的議論,디지털 전환 시대에 맞는 입법이 시급하다는 전문가들의 목소리가 높다.,디지털 전환 시대에 맞는 입법이 시급하다는 전문가들의 목소리가 높다.,same_as_korean
입법,4,立法/法律制定,examples.tl,7,メディア掲載,여야가 합의한 입법 과제를 이번 회기 내에 처리하기로 했다.,여야가 합의한 입법 과제를 이번 회기 내에 처리하기로 했다.,same_as_korean
입법,4,立法/法律制定,examples.tl,8,国際比較,다른 나라의 입법 사례를 참고하여 제도를 설계할 필요가 있다.,다른 나라의 입법 사례를 참고하여 제도를 설계할 필요가 있다.,same_as_korean
입법,4,立法/法律制定,examples.tl,9,市民教育,시민은 청원을 통해 입법 과정에 직접 참여할 수 있다.,시민은 청원을 통해 입법 과정에 직접 참여할 수 있다.,same_as_korean
입시,4,入学試験。大学入学,example_tl,,受験生の準備,입시를 앞두고 학생들은 밤늦게까지 공부한다.,입시를 앞두고 학생들은 밤늦게까지 공부한다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,1,受験生の準備,입시를 앞두고 학생들은 밤늦게까지 공부한다.,입시를 앞두고 학생들은 밤늦게까지 공부한다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,10,再受験を決意する,원하는 대학에 불합격한 후 재수를 결심하는 학생들도 있다.,원하는 대학에 불합격한 후 재수를 결심하는 학생들도 있다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,2,両親の心配,입시 경쟁이 치열해지면서 부모들의 교육비 부담도 커졌다.,입시 경쟁이 치열해지면서 부모들의 교육비 부담도 커졌다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,3,入学情報を集める,고3 담임 선생님은 최신 입시 정보를 학생들에게 제공했다.,고3 담임 선생님은 최신 입시 정보를 학생들에게 제공했다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,4,入学制度の変更,입시 제도가 자주 바뀌어 학생들이 혼란스러워한다.,입시 제도가 자주 바뀌어 학생들이 혼란스러워한다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,5,私学教育の増加,입시 준비를 위해 학원에 다니는 학생들이 많다.,입시 준비를 위해 학원에 다니는 학생들이 많다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,6,ストレス管理,입시 스트레스로 인해 정신 건강 문제를 겪는 학생들이 늘고 있다.,입시 스트레스로 인해 정신 건강 문제를 겪는 학생들이 늘고 있다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,7,キャリアの決定,입시를 준비하면서 자신의 적성과 꿈을 함께 고민해야 한다.,입시를 준비하면서 자신의 적성과 꿈을 함께 고민해야 한다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,8,教育政策批判,전문가들은 현재의 입시 제도가 교육의 다양성을 해친다고 비판한다.,전문가들은 현재의 입시 제도가 교육의 다양성을 해친다고 비판한다.,same_as_korean
입시,4,入学試験。大学入学,examples.tl,9,合格のお知らせ,원하는 대학에 합격했다는 소식을 듣고 온 가족이 기뻐했다.,원하는 대학에 합격했다는 소식을 듣고 온 가족이 기뻐했다.,same_as_korean
입원,4,入院、入院,example_tl,,緊急事態,심한 복통으로 응급실을 찾았다가 입원 결정을 받았다.,심한 복통으로 응급실을 찾았다가 입원 결정을 받았다.,same_as_korean
입원,4,入院、入院,examples.tl,1,緊急事態,심한 복통으로 응급실을 찾았다가 입원 결정을 받았다.,심한 복통으로 응급실을 찾았다가 입원 결정을 받았다.,same_as_korean
입원,4,入院、入院,examples.tl,10,長期入院,장기 입원 환자들의 심리적 지지를 위한 프로그램이 운영된다.,장기 입원 환자들의 심리적 지지를 위한 프로그램이 운영된다.,same_as_korean
입원,4,入院、入院,examples.tl,2,入院手続き,입원 수속을 밟기 위해 병원 원무과에 방문했다.,입원 수속을 밟기 위해 병원 원무과에 방문했다.,same_as_korean
입원,4,入院、入院,examples.tl,3,家族に通知する,환자가 입원하게 되어 가족들에게 빨리 연락을 취했다.,환자가 입원하게 되어 가족들에게 빨리 연락을 취했다.,same_as_korean
입원,4,入院、入院,examples.tl,4,保険処理,입원 기간 동안 발생한 의료비는 건강보험으로 처리된다.,입원 기간 동안 발생한 의료비는 건강보험으로 처리된다.,same_as_korean
